state,lga,ward,health_facility,Latitude,Longitude,type_hf,status,accessibility
Adamawa,Fufore,Pariya,Digino HP,13.1663944,10.51825,Health Clinic,Partially Functioning,True
Adamawa,Fufore,Pariya,Furo HC,12.8263889,10.52777778,PHC,Functioning,True
Adamawa,Fufore,Pariya,Holmawo HP,13.03472222,10.52833333,Health Clinic,Functioning,True
Adamawa,Fufore,Pariya,IDP CAMP,12.532442,10.5421462,Health Clinic,Functioning,True
Adamawa,Fufore,Pariya,Kadarbu PHC,12.533752,10.5443854,Health Clinic,Functioning,True
Adamawa,Fufore,Pariya,PARIYA PHCC,13.08,10.5493,Health Clinic,Functioning,True
Adamawa,Fufore,Pariya,Wuro  Ai HP,12.93194444,10.56305556,Health Post,Functioning,True
Adamawa,Fufore,Pariya,WURO YOLDE,12.5247718,10.5643332,Health Post,Functioning,True
Adamawa,Fufore,Ribadu,Chafajaule HP,11.42565409,10.56699252,Health Post,Functioning,True
Adamawa,Fufore,Ribadu,DASIN HAUSA,11.139858,10.573336,Health Post,Not Functioning,True
Adamawa,Fufore,Ribadu,Dason  B  HP,12.844724,10.5738466,Health Post,Not Functioning,False
Adamawa,Fufore,Ribadu,Dulo B  HC,11.114146,10.5822458,Health Post,Not Functioning,False
Adamawa,Fufore,Ribadu,Ribadu BHC,12.86166,10.583435,Health Clinic,Functioning,True
Adamawa,Fufore,Ribadu,Wafango HP,11.192568,10.5837464,Health Clinic,Functioning,True
Adamawa,Fufore,Uki Tuki,BAI,12.109708,10.5918,PHC,Partially Functioning,True
Adamawa,Fufore,Uki Tuki,CHOLLI  PHCC,11.184962,10.593576,Health Clinic,Functioning,True
Adamawa,Fufore,Uki Tuki,Jili HP,12.81214166,10.6149616,Health Post,Functioning,True
Adamawa,Fufore,Uki Tuki,Kopsupa HP,12.8123333,10.615205,Health Post,Functioning,True
Adamawa,Fufore,Uki Tuki,Safatawa HP,13.77777778,10.62472222,Health Post,Functioning,True
Adamawa,Fufore,Uki Tuki,Tomsoro HP,13.154167,10.631389,PHC,Partially Functioning,True
Adamawa,Fufore,Wuro Bokki,Bilachi HC,12.98444444,10.64666667,Health Post,Functioning,True
Adamawa,Fufore,Wuro Bokki,Dasin Abbakumbo HP,12.8051083,10.65884166,Health Clinic,Partially Functioning,True
Adamawa,Fufore,Wuro Bokki,Dengeshi HP,12.61427592,10.6604458,Health Post,Functioning,True
Adamawa,Fufore,Wuro Bokki,Malabu MCH,12.708831,10.66343,PHC,Functioning,True
Adamawa,Fufore,Wuro Bokki,Wuro Bokki MCH,13.3225,10.673056,Health Clinic,Functioning,True
Adamawa,Fufore,Yadim,BATI,12.8156133,10.67337,PHC,Partially Functioning,True
Adamawa,Fufore,Yadim,Bingni PHC,12.69056183,10.67639957,Health Post,Functioning,True
Adamawa,Fufore,Yadim,LAINDE,12.53353978,10.68074429,PHC,Functioning,True
Adamawa,Fufore,Yadim,Nyibango HP,12.71775,10.6881766,Health Post,Functioning,True
Adamawa,Fufore,Yadim,Ogburi HP,13.074,10.6903,Health Clinic,Functioning,True
Adamawa,Fufore,Yadim,ST. Mary HP,12.88888889,10.69888889,Health Clinic,Functioning,True
Adamawa,Fufore,Yadim,Ugi HP,12.6397842,10.70395459,PHC,Functioning,True
Adamawa,Fufore,Yadim,Wetire,12.717665,10.71836333,Health Post,Functioning,True
Adamawa,Fufore,Yadim,Yadim BHC,12.58447,10.73395833,PHC,Functioning,True
Adamawa,Ganye,Bakari Guso,BABIDU,12.76235,10.76234,Health Clinic,Functioning,True
Adamawa,Ganye,Bakari Guso,BAKARI GOSSO HC,12.36660667,10.773475,Health Post,Functioning,True
Adamawa,Ganye,Bakari Guso,DARDIU HC,12.61317666,10.774535,Health Post,Not Functioning,True
Adamawa,Ganye,Bakari Guso,MODIBBO H/ADAMA H/C,12.37465667,10.77639,PHC,Functioning,True
Adamawa,Ganye,GAMU,DISSOL HC,12.37505,10.77718367,Hospital,Functioning,True
Adamawa,Ganye,GAMU,GAMU HC,12.74571167,10.778315,PHC,Functioning,True
Adamawa,Ganye,GAMU,SANKOM,12.55855067,10.781855,Health Post,Partially Functioning,True
Adamawa,Ganye,GANYE I,BARHAMM HP,12.51393667,10.791905,Health Post,Partially Functioning,True
Adamawa,Ganye,GANYE I,MARIA YEBBI HC,13.35,10.793611,PHC,Functioning,True
Adamawa,Ganye,GANYE I,N0DINGA CLINIC,12.8394,10.79994833,Health Clinic,Functioning,True
Adamawa,Ganye,GANYE I,NEW MARKET H/C,12.8986573,10.808943,PHC,Functioning,True
Adamawa,Ganye,GANYE I,OLD MARKET HC,12.62661667,10.81645167,Health Post,Functioning,True
Adamawa,Ganye,GANYE II,DADIRI HP,12.35366833,10.822415,Health Post,Not Functioning,True
Adamawa,Ganye,GANYE II,GANG DONA HC,12.693925,10.83359167,PHC,Functioning,True
Adamawa,Ganye,GANYE II,GANGWORKI,12.8603667,10.8339066,Health Clinic,Functioning,True
Adamawa,Ganye,GANYE II,GENERAL HOSPITAL,12.42657,10.83868667,Health Post,Not Functioning,True
Adamawa,Ganye,GANYE II,JIPPA JAM,11.93944444,10.84138889,Health Post,Functioning,True
Adamawa,Ganye,GANYE II,PESSI HP,13.40833333,10.84416667,Health Clinic,Functioning,True
Adamawa,Ganye,GANYE II,SUNSHINE CLINIC,12.53161167,10.84830333,Health Post,Partially Functioning,True
Adamawa,Ganye,Gurum,GANGJAEN H/C,12.646115,10.84914333,Health Post,Functioning,True
Adamawa,Ganye,Gurum,GUDING H/C,12.72331833,10.85148666,Health Post,Functioning,True
Adamawa,Ganye,Gurum,GURUMPAWO HC,12.81331167,10.854095,PHC,Functioning,True
Adamawa,Ganye,Gurum,SAMMERI HC,12.47288167,10.85695,Health Post,Not Functioning,True
Adamawa,Ganye,JAGGU,BNADA TSARGA,12.875833,10.862778,PHC,Functioning,True
Adamawa,Ganye,JAGGU,GARAMBA HC,12.931111,10.865278,PHC,Functioning,True
Adamawa,Ganye,JAGGU,JAGGU HC,12.205485,10.87792833,PHC,Functioning,True
Adamawa,Ganye,JAGGU,WADORE H/C,12.56152833,10.88358333,Health Post,Not Functioning,True
Adamawa,Ganye,Sangasumi,ALIYU WAZIRI HC,12.77241167,10.896045,Health Post,Partially Functioning,True
Adamawa,Ganye,Sangasumi,SANGASSUMI HC,10.16027778,10.89666667,Health Post,Functioning,True
Adamawa,Ganye,SUGU,GANGTUM HC,12.80758167,10.90505667,Health Post,Not Functioning,True
Adamawa,Ganye,SUGU,GANGWONI HC,13.278889,10.911944,PHC,Functioning,True
Adamawa,Ganye,SUGU,SUGU HC,11.44792333,10.915555,Health Clinic,Functioning,True
Adamawa,Ganye,TIMDORE,DABORA HC,12.12562167,10.92044833,Health Post,Functioning,True
Adamawa,Ganye,TIMDORE,SANJO HC,12.5575865,10.92723833,PHC,Functioning,True
Adamawa,Ganye,TIMDORE,SANSIRI HC,12.76753833,10.93123,PHC,Functioning,True
Adamawa,Ganye,TIMDORE,YELWA HC,11.68055556,10.93916667,Health Clinic,Functioning,True
Adamawa,Ganye,YEBBI,GANGJARI HC,13.036,10.9411,PHC,Functioning,True
Adamawa,Ganye,YEBBI,GANGJUBI HP,13.036667,10.941111,Health Clinic,Functioning,True
Adamawa,Ganye,YEBBI,GBANI HP,11.56777778,10.94166667,Health Post,Functioning,True
Adamawa,Ganye,YEBBI,KAIKA PHCC,11.88394333,10.94535417,Health Post,Partially Functioning,True
Adamawa,Ganye,YEBBI,YEBBI HC,11.61333333,10.94611111,Health Post,Functioning,True
Adamawa,Girei,DAKRI,DAKRI PHCC,12.92583333,10.94666667,Health Post,Functioning,True
Adamawa,Girei,DAKRI,FEDERAL HOUSING PHC,11.64222222,10.94833333,Health Clinic,Functioning,True
Adamawa,Girei,DAKRI,KWAYA,11.64222222,10.94833333,PHC,Functioning,True
Adamawa,Girei,DAKRI,LABONDO PHCC,11.97473167,10.94978,Health Post,Functioning,True
Adamawa,Girei,DAMARE,BAJABURE PHCC,12.02388889,10.95694444,Health Post,Functioning,True
Adamawa,Girei,DAMARE,DAMARE PHCC,11.92103333,10.95735,Health Post,Partially Functioning,True
Adamawa,Girei,GERENG,GERENG PHCC,11.97773167,10.957595,PHC,Functioning,True
Adamawa,Girei,GERENG,KANGLING PHCC,11.48756,10.958295,Health Clinic,Functioning,True
Adamawa,Girei,GERENG,KOH PHCC,11.63833333,10.9625,Health Post,Functioning,True
Adamawa,Girei,Girei I,BATARE,11.75576167,10.96551667,Health Post,Functioning,True
Adamawa,Girei,Girei I,GIREI A PHCC,11.92332167,10.96831333,Health Clinic,Functioning,True
Adamawa,Girei,Girei I,LUMO-KIDDUM,12.58322167,10.96859917,Health Post,Functioning,True
Adamawa,Girei,Girei I,SANGERE PHCC,12.90573333,10.96897,PHC,Functioning,True
Adamawa,Girei,Girei I,,12.87666667,10.97805556,Health Clinic,Functioning,True
Adamawa,Girei,Girei II,GIREI B PHCC,11.87055556,10.98555556,Health Post,Functioning,True
Adamawa,Girei,Jera Bakari,GUDUSU,11.64638889,10.98722222,PHC,Functioning,True
Adamawa,Girei,Jera Bakari,NGAWA PHCC,11.55083333,10.98861111,Health Post,Functioning,True
Adamawa,Girei,Jera Bakari,RUWO AMSANI,11.61583333,10.98861111,Health Post,Functioning,True
Adamawa,Girei,Jera Bakari,RUWO BASAMBO,11.54656833,10.989565,PHC,Functioning,True
Adamawa,Girei,Jera Bakari,RUWO SANI,12.452205,10.99061167,Health Post,Not Functioning,False
Adamawa,Girei,Jera Bonyo,DANEYEL,13.365556,10.999444,PHC,Functioning,False
Adamawa,Girei,Jera Bonyo,J/BONYO PHCC,11.001085,11.00108833,Health Post,Functioning,True
Adamawa,Girei,Modire/ Vinikilang,NJOBBORE PHCC,12.051389,11.005278,Health Post,Not Functioning,True
Adamawa,Girei,Modire/ Vinikilang,VONIKILANG PHCC,11.57498333,11.00664,Health Post,Functioning,True
Adamawa,Girei,TAMBO,BAKOPI PHCC,13.366,11.0102,Health Post,Functioning,True
Adamawa,Girei,TAMBO,LURU PHCC,12.116389,11.010556,Health Clinic,Functioning,True
Adamawa,Girei,TAMBO,TAMBO PHCC,11.81666667,11.01083333,Health Post,Functioning,True
Adamawa,Girei,TAMBO,,10.43238,11.01085,Health Post,Functioning,False
Adamawa,Girei,Wuro Dole,J/LAMBA PHCC,12.897778,11.015556,Health Clinic,Functioning,True
Adamawa,Girei,Wuro Dole,MALAM MADUGU,13.27944444,11.01666667,Health Post,Functioning,True
Adamawa,Girei,Wuro Dole,W/DOLE PHCC,13.050833,11.016667,PHC,Functioning,True
Adamawa,Gombi,Boga/ Dingai,BOGA PHC,12.70494333,11.017815,Health Clinic,Not Functioning,True
Adamawa,Gombi,Boga/ Dingai,DINGAI,12.8722383,11.0211366,Hospital,Functioning,True
Adamawa,Gombi,Boga/ Dingai,JEBRE,11.50694444,11.02138889,Health Post,Not Functioning,False
Adamawa,Gombi,Boga/ Dingai,KWARGASHE,12.6177,11.0216,Health Clinic,Functioning,True
Adamawa,Gombi,Boga/ Dingai,SHIME,12.79679667,11.02258833,Health Post,Functioning,True
Adamawa,Gombi,Boga/ Dingai,ZANGRA,11.46092,11.024205,Health Clinic,Functioning,True
Adamawa,Gombi,DUWA,DUWA,11.82888889,11.02444444,Health Clinic,Functioning,True
Adamawa,Gombi,DUWA,FOTTA PHC,11.63957667,11.02552833,Health Clinic,Functioning,True
Adamawa,Gombi,DUWA,JAROMBOI,12.8721516,11.0278033,Hospital,Functioning,True
Adamawa,Gombi,DUWA,LEME,11.79666667,11.02944444,Health Post,Not Functioning,True
Adamawa,Gombi,Ga'Anda,AMDUR,11.164695,11.030024,Health Clinic,Functioning,True
Adamawa,Gombi,Ga'Anda,BANGA,12.89156166,11.031695,PHC,Functioning,True
Adamawa,Gombi,Ga'Anda,BAURE,12.084167,11.033611,Health Clinic,Partially Functioning,True
Adamawa,Gombi,Ga'Anda,DADWARI,11.546325,11.03519883,PHC,Functioning,True
Adamawa,Gombi,Ga'Anda,GAANDA MCH (FMHC),12.869845,11.035385,Health Clinic,Functioning,True
Adamawa,Gombi,Ga'Anda,GAANDA PHCC,12.877575,11.03707833,Health Clinic,Partially Functioning,True
Adamawa,Gombi,Ga'Anda,GARIJARA,13.034167,11.037222,PHC,Functioning,True
Adamawa,Gombi,Ga'Anda,GONGRANG,12.81388,11.043029,PHC,Not Functioning,True
Adamawa,Gombi,Ga'Anda,LCCN DISP GAANDA,12.870245,11.0433916,PHC,Functioning,True
Adamawa,Gombi,Ga'Anda,NJEBJEBA,11.04353957,11.04354447,PHC,Functioning,True
Adamawa,Gombi,Ga'Anda,PLARA,13.063056,11.045833,PHC,Functioning,True
Adamawa,Gombi,GABUN,GABUN HC,12.8699466,11.0475733,PHC,Functioning,True
Adamawa,Gombi,GABUN,MBISHIM/NGALGA HC,10.0675,11.05027778,Health Post,Partially Functioning,True
Adamawa,Gombi,GABUN,WAMIRETE,10.067222,11.050555,Health Post,Partially Functioning,True
Adamawa,Gombi,GARKIDA,EYN GARKIDA  DISPENSAR,12.872678,11.051075,Health Clinic,Partially Functioning,True
Adamawa,Gombi,GARKIDA,GEN HOSPITAL GARKIDA,10.08416667,11.05111111,Health Post,Functioning,True
Adamawa,Gombi,GARKIDA,MBEWA H. POS,10.083611,11.051388,Health Post,Functioning,True
Adamawa,Gombi,GARKIDA,STATE DERMATOLOGY H. GARKIDA,10.083888,11.051388,Health Clinic,Partially Functioning,True
Adamawa,Gombi,GARKIDA,SUCSA'AD,11.70821167,11.05562,Health Clinic,Partially Functioning,True
Adamawa,Gombi,GARKIDA,WUYAKU,12.22819667,11.05634667,Health Post,Not Functioning,True
Adamawa,Gombi,GOMBI NORTH,CLINIC B,11.9114,11.0603,Health Clinic,Functioning,True
Adamawa,Gombi,GOMBI NORTH,CLINIC C,10.067777,11.067222,PHC,Functioning,True
Adamawa,Gombi,GOMBI NORTH,NOMA CLINIC,11.01861111,11.06722222,Health Post,Functioning,True
Adamawa,Gombi,GOMBI NORTH,TAIMAKO,12.137222,11.068056,Health Post,Not Functioning,True
Adamawa,Gombi,GOMBI SOUTH,CLINIC. A,11.71008833,11.06828833,PHC,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,HARMISI,11.70944167,11.06829833,Health Clinic,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,JAMA' HOSPITAL GOMBI,11.7222332,11.06830668,Hospital,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,LCCN NURSING HOME,11.86388889,11.06916667,Health Post,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,NYAKO  MATERNITY,11.503505,11.071525,Health Clinic,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,SALVATION,11.95638889,11.07416667,Hospital,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,SCENT MARY CLINIC,11.84888889,11.07472222,PHC,Functioning,True
Adamawa,Gombi,GOMBI SOUTH,STERLING NURSING & MATERNITY HOME,12.24583633,11.08361666,Health Post,Not Functioning,False
Adamawa,Gombi,GOMBI SOUTH,"TRUST MEDICAL CENTRE, GOMBI",11.742305,11.08464145,PHC,Functioning,True
Adamawa,Gombi,GUYAKU,BALHONA,11.317222,11.085833,Health Post,Not Functioning,True
Adamawa,Gombi,GUYAKU,DZANGOLA PHC,11.7705,11.08611111,PHC,Functioning,True
Adamawa,Gombi,GUYAKU,GIRGITHANG,11.70977276,11.08653903,PHC,Functioning,True
Adamawa,Gombi,GUYAKU,GUYAKU PHC,11.72440914,11.08672996,PHC,Functioning,True
Adamawa,Gombi,GUYAKU,JAU,12.9422,11.0886,Health Clinic,Partially Functioning,True
Adamawa,Gombi,GUYAKU,PIRKASA PHC,11.67962,11.08932,Health Post,Partially Functioning,True
Adamawa,Gombi,TAWA,BEBE,11.71847604,11.09479188,PHC,Functioning,True
Adamawa,Gombi,TAWA,BOKKI,13.028333,11.095556,Health Clinic,Functioning,True
Adamawa,Gombi,TAWA,GARFITE,11.70456817,11.09937377,PHC,Functioning,True
Adamawa,Gombi,TAWA,KANGURGUN,12.700833,11.103611,PHC,Partially Functioning,True
Adamawa,Gombi,TAWA,LASIEL,11.69173833,11.10481167,Health Clinic,Functioning,True
Adamawa,Gombi,TAWA,MARRABAN BOKKI,12.27434333,11.10697333,PHC,Functioning,True
Adamawa,Gombi,TAWA,MAYO ZAMBA,11.1354384,11.109228,Health Clinic,Functioning,True
Adamawa,Gombi,TAWA,MIJIWANA,12.573549,11.110098,PHC,Functioning,True
Adamawa,Gombi,TAWA,MUCHALLA PHC,11.504197,11.1139396,Health Clinic,Partially Functioning,True
Adamawa,Gombi,TAWA,NGAIGA,7.54468,11.118382,Health Post,Partially Functioning,True
Adamawa,Gombi,YANG,GANJIN,8.64468,11.119382,Health Post,Functioning,True
Adamawa,Gombi,YANG,SHENO,11.492546,11.1218438,Health Clinic,Functioning,True
Adamawa,Gombi,YANG,YANG HC,11.3441208,11.1223034,Health Clinic,Functioning,True
Adamawa,Guyuk,BANJIRAM,Banjiram PHCC,11.113951,11.123484,Health Clinic,Functioning,True
Adamawa,Guyuk,BANJIRAM,GUGU H/POST,11.33249667,11.12404333,Health Clinic,Functioning,True
Adamawa,Guyuk,BANJIRAM,KWADADAI H/POST,11.172666,11.1257554,Health Clinic,Not Functioning,True
Adamawa,Guyuk,BOBINI,ARAH-THE,11.79444444,11.12583333,Health Post,Functioning,True
Adamawa,Guyuk,BOBINI,FMHC,11.70502557,11.12622639,Health Clinic,Partially Functioning,True
Adamawa,Guyuk,BOBINI,GOROTORO H/P,12.015,11.126944,Health Clinic,Functioning,True
Adamawa,Guyuk,BOBINI,GWALLAM,8.66469,11.129382,Health Clinic,Functioning,True
Adamawa,Guyuk,BOBINI,MADA PHCC,8.77469,11.129382,Health Clinic,Functioning,False
Adamawa,Guyuk,BOBINI,Wawi PHCC,11.08638889,11.13277778,Health Post,Functioning,True
Adamawa,Guyuk,BODENO,Bodeno PHCC,12.213162,11.132806,Health Clinic,Functioning,True
Adamawa,Guyuk,CHIKILA,Chikila PHCC,12.28114833,11.13351833,Health Post,Not Functioning,True
Adamawa,Guyuk,CHIKILA,,11.292676,11.1335232,Health Clinic,Functioning,True
Adamawa,Guyuk,CHIKILA,Dangir PHCC,11.00138889,11.13472222,Health Clinic,Functioning,True
Adamawa,Guyuk,CHIKILA,GWALURA H/P,11.20873,11.14353939,Health Clinic,Functioning,True
Adamawa,Guyuk,CHIKILA,JIU PHC,11.3643074,11.1437284,Health Clinic,Functioning,True
Adamawa,Guyuk,CHIKILA,Sili Kasa PHCC,11.3850694,11.144614,Health Clinic,Functioning,True
Adamawa,Guyuk,CHIKILA,,12.835,11.1456,Health Clinic,Functioning,True
Adamawa,Guyuk,DUKUL,Falu PHCC,12.213056,11.148611,Health Post,Functioning,True
Adamawa,Guyuk,DUKUL,GUNDENYI H/POST,12.886955,11.149448,Health Post,Partially Functioning,True
Adamawa,Guyuk,DUKUL,GWANAH H/POST,11.87759,11.149631,Health Clinic,Partially Functioning,True
Adamawa,Guyuk,DUKUL,Kurrinyi PHCC,12.553,11.1507,Health Clinic,Partially Functioning,True
Adamawa,Guyuk,DUKUL,WALU H/POST,11.2314628,11.1524384,Health Clinic,Functioning,True
Adamawa,Guyuk,DUMNA,Boshikiri PHCC,11.261269,11.1527408,Health Clinic,Functioning,True
Adamawa,Guyuk,DUMNA,Burthi PHCC,11.3420712,11.1530618,Health Clinic,Functioning,True
Adamawa,Guyuk,DUMNA,Dumna Dutse PHCC,11.392249,11.1547,Health Clinic,Partially Functioning,True
Adamawa,Guyuk,DUMNA,DUWO PHC,12.877672,11.159447,Health Post,Partially Functioning,True
Adamawa,Guyuk,DUMNA,TSALBU PHC,11.3657756,11.1653472,Health Clinic,Functioning,True
Adamawa,Guyuk,DUMNA,TUHURA PHC,11.31633333,11.16758667,Health Clinic,Functioning,True
Adamawa,Guyuk,DUMNA,ZAKAWON PHC,12.770556,11.17,Health Clinic,Functioning,True
Adamawa,Guyuk,DUMNA,ZERBU PHC,12.895486,11.173578,Health Clinic,Partially Functioning,True
Adamawa,Guyuk,GUYUK,Cottage Hospital Guyuk,11.281392,11.1753448,Health Clinic,Functioning,True
Adamawa,Guyuk,GUYUK,DASWAMA H/POST,11.82566,11.17857,Hospital,Functioning,True
Adamawa,Guyuk,GUYUK,Guyuk PHCC,11.2020862,11.18382,Health Clinic,Functioning,True
Adamawa,Guyuk,GUYUK,JAGIRA H/POST,12.250833,11.184722,Health Clinic,Functioning,True
Adamawa,Guyuk,GUYUK,LAMZA H POST,11.43698389,11.18573167,Health Clinic,Functioning,True
Adamawa,Guyuk,GUYUK,MANGAPILA NURSING/MATENITY,12.099444,11.192778,Health Post,Functioning,True
Adamawa,Guyuk,GUYUK,Pwalamoliye PHCC,12.339865,11.197885,Health Post,Not Functioning,True
Adamawa,Guyuk,GUYUK,SISIKIRA H/POST,12.878333,11.198611,Hospital,Functioning,True
Adamawa,Guyuk,GUYUK,TUNDUN GUYUK H/POST,11.988333,11.207222,Health Post,Functioning,False
